mar_emp,DiasMora,Factor,STOTAL,df_Life_M,utilizacion,prom_saldo_6m,prom_diasmora_6m,prom_df_life_M_6m,prom_utilizacion_6m,prom_saldo_12m,prom_diasmora_12m,prom_df_life_M_12m,prom_utilizacion_12m
0,0,0.3595272079,1121,131,0.004484,1105.915,0,128.5,0.00442366,1088.1675,0,125.5,0.00435267
0,0,0.3574444195,1781.2,132,0.008906,1756.715,0,129.5,0.008783575,1728.425,0,126.5,0.008642125
0,0,0.8829386992,26996677.02,74,0.06719987708,27949585.55,0,71.5,0.06957184812,29027506.34,0,68.5,0.0810185163
0,0,0.8959630022,26604235.7,75,0.0662230158,27571133.74,0,72.5,0.06862980939,28663051.92,0,69.5,0.07787578038
0,0,0.9390875624,25382522.19,78,0.06318193791,26390193.07,0,75.5,0.06569022289,27538654.75,0,72.5,0.06854896301
0,0,0.744509533,7196988.92,75,0.1550431024,7937386.065,0,72.5,0.1604856994,8762150.584,0,69.5,0.186745513
0,29,0.9010339476,806103.69,43,0.2899653561,914449.49,22.83333333,40.5,0.3289386655,1031229.568,11.41666667,37.5,0.3709458879
0,37,0.6560536768,452706.86,36,1.006015244,453049.1183,7.333333333,33.5,1.006775819,429566.6667,3.666666667,30.5,0.9545925926
0,60,1,893335.81,38,0.89333581,981074.6883,15.33333333,35.5,0.9810746883,989528.7142,7.666666667,32.5,0.9895287142
0,59,1,2049239.8,36,1.0246199,2026067.305,14.83333333,33.5,1.013033653,2015961.227,7.416666667,30.5,1.007980613
0,14,0.7129827432,2011573.02,36,1.00578651,2022624.56,7.5,33.5,1.01131228,2023154.956,8.5,30.5,1.011577478
0,0,0.559747783,2019981.31,86,1.836346645,1985891.205,0,83.5,1.805355641,1946020.345,0,80.5,1.769109405
0,0,0.5475153184,2065111.28,89,1.877373891,2028202.743,0,86.5,1.843820676,1986809.295,0,83.5,1.806190268
0,0,0.5434847944,2080426.3,90,1.891296636,2042847.002,0,87.5,1.857133638,2000821.671,0,84.5,1.818928792
0,10,1,1513567.2,36,1.0090448,1531299.702,16.33333333,33.5,1.020866468,1524289.498,8.166666667,30.5,1.016192999
0,0,1,395000,35,0.9875,338595.5867,0,34,0.8464889667,283812.6329,0,30.14285714,0.7095315821
0,38,1,1429732.53,36,0.714866265,1910012.758,6.833333333,33.5,0.9550063792,1957012.709,3.416666667,30.5,0.9785063546
0,0,0.2985912161,3527773.87,33,1.007935391,3551645.597,18.66666667,30.5,1.014755885,3543830.482,11.41666667,27.5,1.012522995
0,25,0.2953550434,3566427.3,34,1.018979229,3557031.5,22.83333333,31.5,1.016294714,3546785.355,13.5,28.5,1.013367244
0,0,1.005378561,52605373.81,69,0.1441962225,53650770.96,0,66.5,0.1487665848,54875408.82,0,63.5,0.1546261421
0,0,1.025674117,226573.32,31,0.1221419515,767184.2567,25.33333333,28.5,0.4135764187,1043689.817,15,25.5,0.5626360198
0,0,0.3565166651,979621.92,30,0.97962192,950757.105,0,27.5,0.950757105,826557.6092,0,24.5,0.8265576092
0,0,1.035692185,1015775.59,32,1.01577559,1012442.217,0,29.5,1.012442217,1013607.957,0,26.5,1.013607957
0,56,1.0049756,2595051.7,29,1.03802068,2562305.278,28,26.5,1.024922111,2548312.038,18.41666667,23.5,1.019324815
0,57,1,2961025.89,36,1.029922049,2924184.072,13.66666667,33.5,1.017107503,2916567.784,6.833333333,30.5,1.01445836
0,0,0.5743016191,983565.31,30,0.98356531,987366.2717,4.5,27.5,0.9873662717,985923.1367,2.25,24.5,0.9859231367
0,0,0.2508736566,2927926.71,28,1.0096299,2927525.615,0,25.5,1.009491591,2926340.556,0,22.5,1.00908295
0,0,0.2510858827,2925451.93,30,1.008776528,2927234.162,0,27.5,1.00939109,2926904.805,0,24.5,1.009277519
0,0,0.2507960663,2928832.54,31,1.009942255,2927553.32,0,28.5,1.009501145,2927156.036,0,25.5,1.00936415
0,0,0.250785,2928961.78,33,1.009986821,2927893.488,0,30.5,1.009618444,2927556.42,0,27.5,1.009502214
0,0,0.2507648392,2929197.26,35,1.010068021,2928052.957,0,32.5,1.009673433,2927847.216,0,29.5,1.009602488
0,0,1.704364977,542385.23,30,0.54238523,572118.105,0,27.5,0.572118105,773824.4842,0,24.5,0.7738244842
0,0,0.9267893265,997446.09,35,0.99744609,830734.065,0,32.5,0.830734065,740745.2125,0,29.5,0.7407452125
0,0,0.8985631008,1028778.49,37,1.02877849,973180.1683,0,34.5,0.9731801683,741699.6567,0,31.5,0.7416996567
0,0,0.9870402615,1416076.41,28,0.94405094,1420154.058,1.666666667,25.5,0.9467693722,1424252.187,0.8333333333,22.5,0.9495014578
0,0,0.9869260811,1416240.24,29,0.94416016,1417844.01,1.666666667,26.5,0.94522934,1423434.191,0.8333333333,23.5,0.9489561272
0,71,1,1397724.43,38,0.9318162867,1407058.615,19.83333333,35.5,0.9380390767,1411405.008,9.916666667,32.5,0.9409366717
0,0,0.6276732651,3039434.84,30,1.013144947,3012978.968,0,27.5,1.004326323,3012531.526,0.4166666667,24.5,1.004177175
0,21,0.6340000011,3009104.08,36,1.003034693,3007913.388,3.5,33.5,1.002637796,3010446.178,1.75,30.5,1.003482059
0,54,0.6340000011,3009104.08,37,1.003034693,3009430.735,12.5,34.5,1.003143578,3011204.852,6.25,31.5,1.003734951
0,0,0.7454723678,3953254.146,31,0.9379013395,3819697.459,0,28.5,0.9062152927,3770502.039,0,25.5,0.8945437814
0,0,1.04534345,2819209.064,34,0.6688514979,3562905.099,0,31.5,0.8452918385,3673664.549,0,28.5,0.871569288
0,28,1.031567113,1625720.09,33,0.9563059353,1621579.37,4.666666667,30.5,0.9538702176,1626929.986,9.333333333,27.5,0.9570176387
0,56,1.007524862,1664514.14,35,0.9791259647,1632413.288,18.66666667,32.5,0.9602431108,1630352.643,14.16666667,29.5,0.9590309667
0,0,0.9227910169,2508047.02,34,1.003218808,2459302.512,0,31.5,0.9837210047,2229984.918,0,28.5,0.891993967
0,59,0.5545659668,1543700.77,34,1.029133847,1525785.007,20.5,31.5,1.017190004,1519475.73,15.25,28.5,1.01298382
0,0,0.6559466008,4047852.93,25,1.011963233,4041507.89,0,22.5,1.010376973,4038532.697,0,19.5,1.009633174
0,29,1,1905625.41,24,0.952812705,1908927.54,4.833333333,21.5,0.95446377,1908897.561,2.416666667,18.5,0.9544487804
0,65,1,4576307.08,37,0.6537581543,6128940.798,17,34.5,0.8755629712,6381170.432,8.5,31.5,0.911595776
0,0,0.3459193431,2026973.64,29,1.01348682,2026070.222,0,26.5,1.013035111,2025858.593,0,23.5,1.012929297
0,0,0.544427726,10111423.88,31,1.011142388,10169817.37,14.16666667,28.5,1.016981737,10171731.68,14.08333333,25.5,1.017173168
0,72,1,2192637.35,26,0.5481593375,3763574.468,44.83333333,23.5,0.9408936171,3906364.277,22.41666667,20.5,0.9765910692
0,0,0.9904874292,2527149.65,26,1.01085986,2529137.447,0,23.5,1.011654979,2528905.603,0,20.5,1.011562241
0,0,0.9962960926,1518585.5,23,1.012390333,1516284.232,1.333333333,20.5,1.010856154,1516781.527,0.6666666667,17.5,1.011187684
0,87,1,912624.4,23,0.57039025,1510635.728,33.16666667,20.5,0.9441473302,1564973.977,16.58333333,17.5,0.9781087354
0,27,0.5853424556,3040205.29,22,1.013401763,3035549.693,4.5,19.5,1.011849898,3033721.884,2.25,16.5,1.011240628
0,28,0.5786306788,3075469.89,24,1.02515663,3042649.373,9.166666667,21.5,1.014216458,3037744.703,4.583333333,18.5,1.012581568
0,56,1.044405944,1703898.03,25,0.56796601,2820739.402,18.5,22.5,0.9402464672,2927324.143,9.25,19.5,0.9757747144
0,27,0.581093189,3062436.91,27,1.020812303,2825621.118,23,24.5,0.9418737061,2930084.811,11.5,21.5,0.9766949369
0,56,0.5657160434,2561370.12,26,1.024548048,2536361.435,31.66666667,23.5,1.014544574,2520761.395,15.83333333,20.5,1.008304558
0,0,0.5738915977,1823405.49,26,1.01300305,1822079.802,0,23.5,1.012266556,1819794.432,0,20.5,1.010996906
0,0,0.5736176595,1824276.28,27,1.013486822,1822327.735,0,24.5,1.012404297,1819907.563,0,21.5,1.011059757
0,0,0.569851265,1211267.47,25,1.009389558,1137244.508,0,22.5,0.9477037569,1074271.873,0,19.5,0.8952265604
0,0,0.592193264,1165569.32,27,0.9713077667,1142534.485,0,24.5,0.9521120708,1132567.84,0,21.5,0.9438065333
0,0,0.3773157337,1914989.69,21,0.765995876,1577595.752,0,18.5,0.6310383007,1940851.603,0,16,0.7763406411
0,58,0.2781928996,2597319.13,31,1.038927652,2298028.048,13.83333333,28.5,0.9192112193,2085543.931,7.545454545,25.72727273,0.8342175724
0,56,1,2344786.21,35,1.019472265,2326315.568,14,32.5,1.011441551,2314428.949,7,29.5,1.006273456
0,59,0.9868270826,3874087.92,25,0.96852198,4009413.575,14.5,22.5,1.002353394,4012482.383,7.25,19.5,1.003120596
0,88,1,3823054.88,26,0.95576372,3970740.297,29.16666667,23.5,0.9926850742,3997736.956,14.58333333,20.5,0.999434239
0,56,1.01221602,8257073.3,20,1.032134163,8195914.115,42,17.5,1.024489264,8012825.818,21,14.5,1.001603227
0,0,0.9978700636,2328233.85,22,1.012275587,2245370.723,0,19.5,0.9762481406,2217440.889,0,16.5,0.9641047344
0,57,1,2323274.86,25,1.010119504,2304989.668,14.16666667,22.5,1.002169421,2250683.549,7.083333333,19.5,0.9785580649
0,0,1.005691368,6559103.61,29,0.9370148014,6589127.452,0,26.5,0.9413039217,6672213.193,0,23.5,0.9531733132
0,0,0.9911251289,6655500.59,34,0.9507857986,6618596.257,0,31.5,0.945513751,6603861.854,0,28.5,0.9434088363
0,0,0.2972816511,1516178.07,18,1.01078538,1516370.642,0,15.5,1.010913761,1514729.892,0,12.90909091,1.009819928
0,0,0.2971640323,1516778.18,19,1.011185453,1516542.942,0,16.5,1.011028628,1514942.543,0,14,1.009961695
0,82,0.3000000047,1502439.71,23,1.001626473,1509538.23,25.33333333,20.5,1.00635882,1512906.623,12.66666667,17.5,1.008604416
0,0,0.7465205337,1821785.12,34,1.012102844,1815359.307,6.166666667,31.5,1.008532948,1817830.94,3.083333333,28.5,1.009906078
0,56,1.01167013,1034312.35,19,1.03431235,1018182.858,18,16.5,1.018182858,1013451.753,9,13.5,1.013451753
0,25,0.5852630936,1233199.39,29,1.027666158,1221224.597,13.5,26.5,1.017687164,1206379.319,6.75,23.5,1.005316099
0,0,0.298721259,1011645.04,29,1.01164504,1011813.377,0,26.5,1.011813377,1011747.296,0,23.5,1.011747296
0,0,0.2984265685,1012644.02,30,1.01264402,1012306.127,0,27.5,1.012306127,1011803.988,0,24.5,1.011803988
0,88,0.300000001,1007332.93,38,1.00733293,1010941.153,33,35.5,1.010941153,1010842.141,16.5,32.5,1.010842141
0,0,1.02934664,1719760.08,31,1.011623576,1719195.813,0,28.5,1.011291655,1718784.363,0,25.5,1.011049625
0,0,1.190320834,729054.97,25,0.8577117294,718722.7817,0,22.5,0.8455562137,613835.6333,0,19.5,0.7221595686
0,0,1.039623722,834734.05,29,0.9820400588,770466.13,0,26.5,0.9064307412,720494.4508,0,23.5,0.8476405304
0,0,1.081144208,4737422.41,17,0.947484482,4835297.163,0,14.5,0.9670594327,4692736.591,0,11.5,0.9385473182
0,0,1.060425103,4829984.49,18,0.965996898,4816425.253,0,15.5,0.9632850507,4758892.656,0,12.5,0.9517785312
0,0,1.039702166,4926253.85,20,0.98525077,4827146.747,0,17.5,0.9654293493,4824448.177,0,14.5,0.9648896353
0,0,1.006980356,8092598.49,18,1.011574811,8091311.597,0,15.5,1.01141395,8087927.388,0,12.5,1.010990924
0,0,1.008037846,8084108.89,20,1.010513611,8090232.25,0,17.5,1.011279031,8089478.765,0,14.5,1.011184846
0,0,1.007051125,8092029.8,22,1.011503725,8091122.433,0,19.5,1.011390304,8090764.525,0,16.5,1.011345566
0,28,0.9948243238,8191484.18,23,1.023935523,8108156.063,4.666666667,20.5,1.013519508,8099269.34,2.333333333,17.5,1.012408668
0,0,1.035515762,3034605.9,17,1.0115353,3041637.717,4.166666667,14.5,1.013879239,3037027.642,2.083333333,11.5,1.012342547
0,0,0.993399372,1001844.06,17,1.011963697,1001680.225,0,14.5,1.011798207,1000366.558,0,11.5,1.01047127
0,0,0.9944831799,1000752.23,19,1.010860838,1001539.782,0,16.5,1.011656345,1001449.976,0,13.5,1.011565632
0,0,1.001550946,4552730.67,28,1.011717927,4550863.59,0.6666666667,25.5,1.01130302,4547057.647,0.3333333333,22.5,1.010457255
0,0,1.002089117,4550285.63,31,1.011174584,4545342.947,0,28.5,1.01007621,4544031.058,0.3333333333,25.5,1.009784679
0,28,1.012564893,6103510.61,18,1.017251768,5792762.45,4.666666667,15.5,0.9654604083,5920369.969,2.333333333,12.5,0.9867283282
0,0,0.9933861537,300959.52,22,1.0031984,300718.5417,0.1666666667,19.5,1.002395139,300449.9167,0.5,16.5,1.001499722
0,4,0.9951342876,300430.83,24,1.0014361,300741.3017,0.6666666667,21.5,1.002471006,300626.0433,0.8333333333,18.5,1.002086811
0,35,1,298969.02,25,0.9965634,300568.67,6.5,22.5,1.001895567,300473.1125,3.75,19.5,1.001577042
0,0,0.9901238856,10104569.11,30,1.010456911,10101388.78,0,27.5,1.010138878,10098776.62,0,24.5,1.009877662
0,0,0.9900370105,10105455.78,32,1.010545578,10101326.13,0,29.5,1.010132613,10100122.53,0,26.5,1.010012253
0,0,1.014376383,1015587.13,18,1.01558713,1015296.638,0,15.5,1.015296638,1014905.616,0,12.5,1.014905616
0,0,0.9977608313,910811.22,29,1.012012467,792412.6333,0,26.5,0.8804584815,767219.5009,0,23.63636364,0.8524661121
0,0,1.465887703,619946.37,34,0.6888293,633816.2517,0,31.5,0.7042402796,687550.985,0,28.5,0.7639455389
0,35,1,908771.76,36,1.0097464,679522.5867,6.666666667,33.5,0.7550250963,713102.9558,3.333333333,30.5,0.7923366176
0,0,1.006575877,5062234.28,35,1.012446856,5060474.365,0,32.5,1.012094873,5060387.618,0,29.5,1.012077524
0,49,1,641016.51,37,0.9861792462,631877.445,11.16666667,34.5,0.9721191462,602717.3917,5.583333333,31.5,0.9272575256
0,0,1.035780942,2527900.75,14,1.0111603,2528244.567,0,11.5,1.011297827,2527155.065,0,8.5,1.010862026
0,0,1.035418527,2528785.56,21,1.011514224,2530313.723,4.5,18.5,1.012125489,2529424.298,2.25,15.5,1.011769719
