,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max,skew,kurtosis
mar_emp,10000.0,0.8,0.40002000150012507,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.5002250431335329,0.2507252850990307
DiasMora,10000.0,6.3722,18.80971152582539,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,59.0,87.0,88.0,2.903356508033746,7.256087036510046
Factor,10000.0,1.0250070308816543,0.31036850204227046,5.1693414e-09,0.061117275450500025,0.494986484895,0.7157513284600001,0.9904081916,1.027573627,1.0888071815,1.2211440998,1.5075164894499986,2.1939424906700005,2.709878437,0.6767253477961618,6.603711689350527
STOTAL,10000.0,661257.2926853,1834936.5504933523,0.07,698.1469000000002,4588.835500000005,20378.367000000002,56595.35,106089.76999999999,199325.39,2144565.56,3479661.4154999973,7509019.373700016,55324750.22,11.035715268478436,247.68648749133337
df_Life_M,10000.0,65.2423,44.26543045699832,0.0,1.0,4.0,7.0,22.0,67.0,98.0,124.0,139.0,162.01000000000022,193.0,0.20390841303253002,-0.9271006332409693
utilizacion,10000.0,0.8054326877073161,0.2972391364557317,2.8e-09,0.00435,0.049669993490500004,0.30371250800000005,0.699273275,0.940556725,1.007434848,1.0300839750000002,1.0521683994,1.0952075236,1.891296636,-1.437899659738274,1.0812916231165324
prom_saldo_6m,10000.0,649285.0334518299,1825600.9325595654,22.05,860.936,7758.255166350005,21690.758164000003,55581.4987525,102494.65835,195019.57252500003,2090098.5422,3404586.5052499915,7552999.464400003,55324750.22,11.38050782818436,259.93505516421527
prom_diasmora_6m,10000.0,4.39200166673061,14.124851845222823,-22.66666667,0.0,0.0,0.0,0.0,0.0,0.0,14.16666667,25.0,64.83666666340008,222.5,6.477981366731969,59.558448493949896
prom_df_life_M_6m,10000.0,62.90126333333669,44.14867799497116,0.0,0.5,2.0,4.5,19.5,64.5,95.5,121.5,136.5,160.0050000000001,190.5,0.21133249196109918,-0.9275812363313833
prom_utilizacion_6m,10000.0,0.787044302554364,0.2858869342797239,0.000147,0.004975617000000001,0.07928986433350009,0.31534532444000013,0.67782290835,0.9135879177,0.989798940475,1.0129772838,1.02324902085,1.06002366421,1.857133638,-1.3876323343384427,0.9942687251793081
prom_saldo_12m,10000.0,639959.9267932149,1824454.0980707817,22.05,870.0,9868.955292000002,22290.496233,55283.23229,100549.01585,192597.75855,2055874.0851,3332921.556599996,7295226.738900057,55324750.22,11.675858063626574,269.90048876746766
prom_diasmora_12m,10000.0,3.7795291882973396,12.933689143192765,-15.11111111,0.0,0.0,0.0,0.0,0.0,0.0,11.41666667,19.67083333649994,62.33499999670004,226.75,7.41144928351525,75.36549190651519
prom_df_life_M_12m,10000.0,60.360526114718105,43.64714642849621,0.0,0.5,2.0,3.5,17.375,61.5,92.5,118.5,134.5,157.5,187.5,0.24024531770133195,-0.9197748473578722
prom_utilizacion_12m,10000.0,0.7721091513732296,0.27650056859298633,0.000147,0.005308022399670001,0.11491938351000004,0.32227097513,0.6490125735750001,0.8874398906000001,0.97359268545,1.009784986,1.01439345505,1.0406467153299999,1.818928792,-1.3204065864054553,0.8926095487605656
