,p001,p01,p99,p999
Factor,0.0011553508094924005,0.061117275450500025,2.1939424906700005,2.6346666618610004
estimated_EI,22.05,351.1899999716579,6069302.24,17560884.809343483
STOTAL,68.9,698.1469000000002,7509019.373700016,18127181.133520428
utilizacion,0.00039248830719000003,0.00435,1.0952075236,1.3093502090600058
DiasMora,-1.0009999999999994,0.0,87.0,88.0
saldo_vs_6m_ratio,0.01825945811506615,0.2993835724885911,2.0573598546773773,3.705929598952969
saldo_vs_12m_ratio,0.010595029627579458,0.12796754334500066,2.6155707930359675,5.683982829508294
util_vs_6m_diff,-0.5537239660039001,-0.2629309925,0.39564403044300006,0.5770400898911002
util_vs_12m_diff,-0.6512897163876998,-0.34365515519999995,0.49723970090200015,0.688845348878101
mora_vs_6m_diff,-176.3334999667,-53.84166666339999,56.66666667,64.16666667
mora_vs_12m_diff,-164.33483329999999,-55.2508333333,68.41750000330002,76.0
util_6m_vs_12m_diff,-0.28705618483819995,-0.171765658967,0.27444114844100015,0.38222828020240196
saldo_6m_vs_12m_ratio,0.07656358843093365,0.43229882364673966,1.639842969580783,1.9847000352802386
