utilization_band,delinquency_band,n,factor_mean,factor_median,factor_p10,factor_p90,ei_mean,stotal_mean,utilization_mean,share
<=5%,0,426,1.268312015158803,1.227349635,0.40884695405000004,2.1610376149999997,2373.067370845234,2316.5806103286386,0.013159613251059623,0.0426
<=5%,31-60,60,1.1196186368375,1.2099457550000001,0.73209826832,1.3270595792,1978.5055000413267,1888.6326666666669,0.013177550551616667,0.006
<=5%,61-90,15,1.0238865168466666,1.0,0.98665587212,1.207850163,1491.879333283285,1435.952,0.011813181104866666,0.0015
5-25%,0,366,0.878753933774029,0.97858411385,0.09110958845,1.569754454,389734.6685046037,420042.6020491803,0.14383346300486338,0.0366
5-25%,1-30,3,0.6800255236666667,0.922360056,0.28261379312,0.98050344128,964721.5466880482,1121966.5133333334,0.23745181053333334,0.0003
5-25%,31-60,15,0.9910281649866666,1.010229471,0.7663675677,1.2102011748,75691.93733290344,87927.25333333334,0.12583315724266667,0.0015
5-25%,61-90,10,0.9916607917,1.0,0.9891928508,1.0072954172,76663.86499690349,76888.61799999999,0.179394802632,0.001
25-50%,0,645,1.1401260978480041,1.017228049,0.64018696358,2.1647523466000003,119247.74428199169,88711.93339534884,0.39059163219472864,0.0645
25-50%,1-30,5,0.8986637688,0.9388204165,0.74180781618,1.0106844508000001,1382807.964003785,1495560.382,0.41553352658,0.0005
25-50%,31-60,39,0.9267917431347426,1.0,0.76109071874,1.0119593982,162947.56615484954,227002.81794871794,0.38015254605384613,0.0039
25-50%,61-90,15,0.95358975864,1.0,0.89816471126,1.0,542683.7300016799,574940.1486666667,0.4142571684533333,0.0015
50-75%,0,1069,1.1279749370871002,1.032145812,0.82749409708,1.6648424796,233114.53959248654,222050.91442843777,0.635039367241347,0.1069
50-75%,1-30,5,0.9542315702399999,1.0,0.83074145034,1.0277946474000001,214831.66400740584,230466.456,0.6234958532799999,0.0005
50-75%,31-60,58,0.9943319906068965,1.0000000409999998,0.9544574392899999,1.039596926,374635.0200098541,393892.7218965517,0.6364448776275862,0.0058
50-75%,61-90,43,0.9951472933302327,1.0,0.99079676592,1.0259324304,772122.0239485065,783846.2960465117,0.6091615921511628,0.0043
75-90%,0,1345,1.065290618315854,1.056591439,0.92346371864,1.270585833,235798.0428310396,235606.6508921933,0.8372355402698886,0.1345
75-90%,1-30,9,0.8519916344222223,0.9942723573,0.42416173172000005,1.0538647048,1205018.3744371699,1531663.4255555556,0.8346156076111111,0.0009
75-90%,31-60,64,0.9803762415203124,1.0009640305,0.96270881719,1.0328943707,353719.027031408,452124.17484375,0.834947361528125,0.0064
75-90%,61-90,21,0.9442389991666666,1.0,0.8457082901,1.027957703,608172.9852414785,743051.3395238095,0.8297547599523809,0.0021
90-100%,0,2754,1.0378654861270868,1.0623392965,0.96585594616,1.1350767197,268524.9058845386,311309.3778126362,0.9617466941386347,0.2754
90-100%,1-30,35,0.8702771580285714,1.0,0.4900098725,1.0165342962000001,1480234.1948786173,1741824.1665714285,0.9776898739657144,0.0035
90-100%,31-60,101,0.9678735948415842,1.000000088,0.8519788642,1.039336821,476484.79414988926,550313.870990099,0.9632581794326732,0.0101
90-100%,61-90,49,0.9628306736714285,1.0,0.8850902641000001,1.0370347126000001,994044.6483689026,1083976.7110204082,0.9698796988346938,0.0049
>100%,0,2211,0.927469070180476,1.003784609,0.5144803715,1.063053543,1211892.9420302464,1507653.6198747174,1.0310851077878789,0.2211
>100%,1-30,200,0.8267023839458499,0.9957917037499999,0.49665152173,1.0242159498,2387500.0499544432,3021521.05745,1.02482501254,0.02
>100%,31-60,330,0.921126701416606,1.0015284845,0.52149565168,1.0279675654,1304816.8122745275,1576593.088848485,1.0383886999303031,0.033
>100%,61-90,107,0.9415617202272561,1.0,0.6315141861800002,1.0278443624,1909228.1775589143,2007358.1479439253,1.0381756890093456,0.0107
