Factor,estimated_EI,STOTAL,utilizacion,DiasMora,df_Life_M,mar_emp
1.005378561,52888315.021964885,52605373.81,0.1441962225,0,69,0
0.638498142,35324750.22208409,55324750.22,1.0,0,1,0
0.638498142,35324750.22208409,55324750.22,1.0,0,2,0
0.9390875624,23836410.890971012,25382522.19,0.06318193791,0,78,0
0.8829386992,23836410.89076133,26996677.02,0.06719987708,0,74,0
0.8959630022,23836410.889008418,26604235.7,0.0662230158,0,75,0
1.0,20727562.86,20727562.86,1.036378143,87,10,0
1.024823046,20727562.851874486,20225504.23,1.011275212,0,5,0
0.968872089,17560884.810791302,18125080.71,1.0097538,0,3,0
0.9689820376,17560884.810202084,18123024.09,1.009639225,0,8,0
0.9689905394,17560884.809342623,18122865.08,1.009630367,0,2,0
1.090531035,15322232.693030817,14050249.1,0.9366832733,0,2,0
1.015220132,12366709.897412159,12181308.77,1.059244241,0,9,0
1.064057581,12366709.894493813,11622218.68,1.010627711,0,2,0
1.024597386,12366709.894468637,12069823.78,1.049549894,0,8,0
0.5178932039,11555722.610747011,22312945.07,0.7437648357,0,1,0
0.5234686004,11555722.609732138,22075292.77,0.7358430923,0,0,0
1.001378398,11109546.888338346,11094254.59,1.008568599,0,23,0
0.9781968844,11083698.42004218,11330743.94,1.030067631,0,16,0
1.0,11083698.42,11083698.42,1.007608947,31,19,0
