Factor,estimated_EI,STOTAL,utilizacion,DiasMora,df_Life_M,mar_emp
2.709878437,174193.75000636574,64281.02,0.3214051,0,169,1
2.697269934,126668.83999541658,46961.87,0.37569496,0,63,1
2.679583034,49655.37999888434,18531.01,0.29649616,0,94,1
2.677053583,71002.93000065658,26522.79,0.2652279,0,25,1
2.67614736,2416237.519864176,902879.1,0.3925561304,0,2,0
2.669392341,309749.2400538598,116037.36,0.3867912,0,13,0
2.662528242,89679.0099942198,33681.9,0.4132748466,0,69,1
2.652592462,2013074.250247762,758908.23,0.3891837077,0,2,0
2.651717917,1235668.4900523834,465987.91,0.3883232583,0,6,0
2.635591597,109489.96001951546,41542.84,0.4154284,0,74,1
2.634665736,59983.8300113724,22767.15,0.11383575,0,126,1
2.634216465,49238.3000048163,18691.82,0.1302565854,0,103,1
2.631613798,154838.84001444804,58837.98,0.3922532,0,42,1
2.618883838,106867.30001347834,40806.43,0.4080643,0,61,1
2.617354676,2485.4400003296,949.6,0.006330666667,0,58,1
2.612411336,1598.43000004496,611.86,0.0030593,0,96,1
2.602094419,395247.88999408914,151896.06,0.189870075,0,4,0
2.588552239,1734.3300001300001,670.0,0.00536,0,15,1
2.588552239,1734.3300001300001,670.0,0.00536,0,14,1
2.585812366,185552.3100294494,71757.84,0.3587892,0,99,1
